 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         22026        7769736  [B (java.base@17.0.17)
   2:          1410        2402664  [I (java.base@17.0.17)
   3:         14655         351720  java.lang.String (java.base@17.0.17)
   4:          1725         210696  java.lang.Class (java.base@17.0.17)
   5:          2900         162400  java.util.LinkedHashMap (java.base@17.0.17)
   6:          3918         125376  java.util.HashMap$Node (java.base@17.0.17)
   7:          1140         106712  [Ljava.lang.Object; (java.base@17.0.17)
   8:          2898          69552  java.io.ByteArrayOutputStream (java.base@17.0.17)
   9:           277          57664  [Ljava.util.HashMap$Node; (java.base@17.0.17)
  10:          1617          51744  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.17)
  11:            11          50512  [C (java.base@17.0.17)
  12:          2898          46368  java.util.jar.Attributes (java.base@17.0.17)
  13:            30          27872  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.17)
  14:           257          26728  java.util.jar.JarFile$JarFileEntry (java.base@17.0.17)
  15:           417          26688  java.net.URL (java.base@17.0.17)
  16:           840          20160  java.lang.StringBuilder (java.base@17.0.17)
  17:           265          14840  jdk.internal.org.objectweb.asm.SymbolTable$Entry (java.base@17.0.17)
  18:           258          14448  java.util.zip.ZipFile$ZipFileInflaterInputStream (java.base@17.0.17)
  19:           258          14448  java.util.zip.ZipFile$ZipFileInputStream (java.base@17.0.17)
  20:           269          12912  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@17.0.17)
  21:           263          12624  java.util.HashMap (java.base@17.0.17)
  22:           341          10912  jdk.internal.math.FDBigInteger (java.base@17.0.17)
  23:           334          10688  java.io.File (java.base@17.0.17)
  24:           263          10520  java.util.WeakHashMap$Entry (java.base@17.0.17)
  25:           257          10280  java.security.CodeSource (java.base@17.0.17)
  26:           254          10160  jdk.internal.loader.URLClassPath$JarLoader$2 (java.base@17.0.17)
  27:           620           9920  java.lang.Object (java.base@17.0.17)
  28:           363           8712  java.lang.module.ModuleDescriptor$Exports (java.base@17.0.17)
  29:             1           8216  [Lscala.math.BigInt;
  30:           160           7680  java.lang.invoke.MemberName (java.base@17.0.17)
  31:           169           6760  java.lang.invoke.MethodType (java.base@17.0.17)
  32:             9           6480  [Ljdk.internal.org.objectweb.asm.SymbolTable$Entry; (java.base@17.0.17)
  33:           258           6192  java.util.zip.ZipFile$InflaterCleanupAction (java.base@17.0.17)
  34:           256           6144  java.lang.Long (java.base@17.0.17)
  35:           254           6096  java.security.SecureClassLoader$1 (java.base@17.0.17)
  36:           251           6024  java.util.ImmutableCollections$Set12 (java.base@17.0.17)
  37:           213           5824  [Ljava.lang.Class; (java.base@17.0.17)
  38:            62           4960  java.net.URI (java.base@17.0.17)
  39:           267           4272  java.lang.Integer (java.base@17.0.17)
  40:           265           4240  java.lang.Byte (java.base@17.0.17)
  41:           132           4224  java.lang.module.ModuleDescriptor$Requires (java.base@17.0.17)
  42:           256           4096  java.lang.Short (java.base@17.0.17)
  43:           254           4064  java.security.SecureClassLoader$CodeSourceKey (java.base@17.0.17)
  44:           254           4064  java.util.zip.CRC32 (java.base@17.0.17)
  45:            11           4048  java.lang.Thread (java.base@17.0.17)
  46:            62           3968  java.lang.module.ModuleDescriptor (java.base@17.0.17)
  47:            68           3808  java.lang.Module (java.base@17.0.17)
  48:            90           3600  java.math.BigInteger (java.base@17.0.17)
  49:            16           3584  jdk.internal.org.objectweb.asm.MethodWriter (java.base@17.0.17)
  50:            62           3472  jdk.internal.module.ModuleReferenceImpl (java.base@17.0.17)
  51:           139           3336  java.util.ImmutableCollections$SetN (java.base@17.0.17)
  52:           198           3168  java.util.HashSet (java.base@17.0.17)
  53:            40           3040  [Ljava.lang.ref.SoftReference; (java.base@17.0.17)
  54:            93           2976  java.lang.invoke.LambdaForm$Name (java.base@17.0.17)
  55:            41           2624  java.util.concurrent.ConcurrentHashMap (java.base@17.0.17)
  56:            15           2512  [Ljava.lang.invoke.MethodHandle; (java.base@17.0.17)
  57:            69           2208  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@17.0.17)
  58:             9           2192  [J (java.base@17.0.17)
  59:            68           2176  java.lang.invoke.LambdaForm$Kind (java.base@17.0.17)
  60:           128           2048  java.lang.Character (java.base@17.0.17)
  61:            61           1952  jdk.internal.loader.BuiltinClassLoader$LoadedModule (java.base@17.0.17)
  62:            49           1856  [Ljava.lang.invoke.LambdaForm$Name; (java.base@17.0.17)
  63:            64           1536  java.lang.invoke.ResolvedMethodName (java.base@17.0.17)
  64:            62           1488  java.lang.module.ResolvedModule (java.base@17.0.17)
  65:            62           1488  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@17.0.17)
  66:            62           1488  jdk.internal.module.SystemModuleFinders$2 (java.base@17.0.17)
  67:            28           1448  [Ljava.lang.String; (java.base@17.0.17)
  68:            60           1440  java.lang.module.ModuleDescriptor$Provides (java.base@17.0.17)
  69:            60           1440  java.util.ImmutableCollections$List12 (java.base@17.0.17)
  70:             1           1376  [Ljdk.internal.math.FDBigInteger; (java.base@17.0.17)
  71:            23           1288  jdk.internal.org.objectweb.asm.Label (java.base@17.0.17)
  72:            38           1184  [Ljava.math.BigInteger; (java.base@17.0.17)
  73:             4           1128  [Ljava.lang.Integer; (java.base@17.0.17)
  74:            27           1080  java.io.ObjectStreamField (java.base@17.0.17)
  75:             1           1040  [Ljava.lang.Byte; (java.base@17.0.17)
  76:             1           1040  [Ljava.lang.Long; (java.base@17.0.17)
  77:             1           1040  [Ljava.lang.Short; (java.base@17.0.17)
  78:            21           1008  java.lang.invoke.LambdaForm (java.base@17.0.17)
  79:            25           1000  java.lang.ref.SoftReference (java.base@17.0.17)
  80:            31            992  java.lang.invoke.VarHandle$AccessMode (java.base@17.0.17)
  81:            19            968  [Lsun.invoke.util.Wrapper; (java.base@17.0.17)
  82:            60            960  jdk.internal.module.SystemModuleFinders$3 (java.base@17.0.17)
  83:             6            912  jdk.internal.org.objectweb.asm.ClassWriter (java.base@17.0.17)
  84:            28            896  jdk.internal.org.objectweb.asm.Type (java.base@17.0.17)
  85:            37            888  jdk.internal.org.objectweb.asm.ByteVector (java.base@17.0.17)
  86:            36            864  java.util.jar.Attributes$Name (java.base@17.0.17)
  87:            32            768  java.lang.invoke.LambdaForm$NamedFunction (java.base@17.0.17)
  88:            30            720  java.util.concurrent.CopyOnWriteArrayList (java.base@17.0.17)
  89:            20            640  java.lang.invoke.MethodHandles$Lookup (java.base@17.0.17)
