 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        156944       17410992  [B (java.base@17.0.17)
   2:          6871        4850976  [I (java.base@17.0.17)
   3:        134544        3229056  java.lang.String (java.base@17.0.17)
   4:           501        1543184  [C (java.base@17.0.17)
   5:         12179         974320  java.net.URI (java.base@17.0.17)
   6:          6941         817648  [Ljava.util.HashMap$Node; (java.base@17.0.17)
   7:         18766         750640  java.util.LinkedHashMap$Entry (java.base@17.0.17)
   8:          5988         724384  java.lang.Class (java.base@17.0.17)
   9:         13295         680568  [Ljava.lang.Object; (java.base@17.0.17)
  10:         17217         550944  java.util.HashMap$Node (java.base@17.0.17)
  11:          9030         505680  java.util.LinkedHashMap (java.base@17.0.17)
  12:         12363         395616  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.17)
  13:         12099         387168  java.net.URI$Parser (java.base@17.0.17)
  14:          7734         371232  java.util.HashMap (java.base@17.0.17)
  15:          8036         363672  [Ljava.lang.String; (java.base@17.0.17)
  16:          5994         335664  com.apicatalog.jsonld.context.TermDefinition
  17:         18061         288976  java.util.Optional (java.base@17.0.17)
  18:          3833         214648  jdk.internal.org.objectweb.asm.SymbolTable$Entry (java.base@17.0.17)
  19:          6274         200768  com.apicatalog.jsonld.expansion.UriExpansion
  20:         12250         196000  java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$UnmodifiableEntry (java.base@17.0.17)
  21:          5996         191872  java.util.Collections$UnmodifiableMap (java.base@17.0.17)
  22:          5957         190624  java.util.LinkedHashMap$LinkedEntryIterator (java.base@17.0.17)
  23:          5949         190368  org.glassfish.json.JsonObjectBuilderImpl$JsonObjectImpl
  24:          5936         189952  org.glassfish.json.JsonParserImpl$ObjectContext
  25:          7615         182760  java.util.ArrayList (java.base@17.0.17)
  26:           172         167360  [Ljdk.internal.org.objectweb.asm.SymbolTable$Entry; (java.base@17.0.17)
  27:          2731         152936  java.nio.HeapByteBuffer (java.base@17.0.17)
  28:          1297         149704  [J (java.base@17.0.17)
  29:          5966         143184  java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$1 (java.base@17.0.17)
  30:          5948         142752  org.glassfish.json.JsonObjectBuilderImpl
  31:          5944         142656  java.util.AbstractMap$1$1 (java.base@17.0.17)
  32:           291         118944  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.17)
  33:          7217         115472  java.util.HashSet (java.base@17.0.17)
  34:          2351         112848  java.lang.invoke.MemberName (java.base@17.0.17)
  35:          6262         100192  org.glassfish.json.JsonStringImpl
  36:          6104          97664  com.apicatalog.jsonld.expansion.UriExpansion$$Lambda$497/0x000000c80130d948
  37:          5978          95648  java.util.LinkedHashMap$LinkedEntrySet (java.base@17.0.17)
  38:          5957          95312  java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet (java.base@17.0.17)
  39:          5941          95056  java.util.AbstractMap$1 (java.base@17.0.17)
  40:          5932          94912  com.apicatalog.jsonld.expansion.UriExpansion$$Lambda$500/0x000000c80130e240
  41:          2364          94560  java.lang.invoke.MethodType (java.base@17.0.17)
  42:          3841          92184  jdk.internal.net.http.hpack.QuickHuffman$ImmutableNode (java.net.http@17.0.17)
  43:          3841          92184  jdk.internal.net.http.hpack.QuickHuffman$TemporaryNode (java.net.http@17.0.17)
  44:          3336          80064  java.lang.StringBuilder (java.base@17.0.17)
  45:          4555          72880  java.lang.Object (java.base@17.0.17)
  46:          1708          68320  sun.security.util.DerInputStream (java.base@17.0.17)
  47:           304          68096  jdk.internal.org.objectweb.asm.MethodWriter (java.base@17.0.17)
  48:          1631          65240  java.math.BigInteger (java.base@17.0.17)
  49:          1816          58112  sun.security.util.ObjectIdentifier (java.base@17.0.17)
  50:          2149          57976  [Ljava.lang.Class; (java.base@17.0.17)
  51:          1566          50112  sun.security.util.DerValue (java.base@17.0.17)
  52:          1468          46976  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@17.0.17)
  53:          2913          46608  java.util.jar.Attributes (java.base@17.0.17)
  54:           635          45720  java.lang.reflect.Constructor (java.base@17.0.17)
  55:           658          36848  com.sun.crypto.provider.GCTR (java.base@17.0.17)
  56:           725          34800  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@17.0.17)
  57:          1072          34304  java.util.ArrayList$Itr (java.base@17.0.17)
  58:          1055          33760  java.lang.invoke.LambdaForm$Name (java.base@17.0.17)
  59:           771          30840  java.util.TreeMap$Entry (java.base@17.0.17)
  60:           480          30720  java.lang.Class$ReflectionData (java.base@17.0.17)
  61:          1157          27768  java.math.MutableBigInteger (java.base@17.0.17)
  62:           429          27456  java.net.URL (java.base@17.0.17)
  63:           686          27440  java.lang.ref.SoftReference (java.base@17.0.17)
  64:          1141          27384  [Lsun.security.x509.AVA; (java.base@17.0.17)
  65:          1141          27384  sun.security.x509.AVA (java.base@17.0.17)
  66:          1141          27384  sun.security.x509.RDN (java.base@17.0.17)
  67:          1139          27336  java.lang.invoke.ResolvedMethodName (java.base@17.0.17)
  68:           779          26880  [Ljava.nio.ByteBuffer; (java.base@17.0.17)
  69:           417          26688  java.util.concurrent.ConcurrentHashMap (java.base@17.0.17)
  70:           647          25880  sun.security.ssl.Plaintext (java.base@17.0.17)
  71:           340          25840  [Ljava.lang.ref.SoftReference; (java.base@17.0.17)
  72:           320          25600  com.sun.crypto.provider.GaloisCounterMode$GCMDecrypt (java.base@17.0.17)
  73:           234          24336  java.util.jar.JarFile$JarFileEntry (java.base@17.0.17)
  74:           160          24320  jdk.internal.org.objectweb.asm.ClassWriter (java.base@17.0.17)
  75:           160          21760  sun.nio.fs.UnixFileAttributes (java.base@17.0.17)
  76:           878          21072  sun.security.x509.X509AttributeName (java.base@17.0.17)
  77:           836          20064  java.util.LinkedList$Node (java.base@17.0.17)
  78:           826          19824  java.security.Provider$ServiceKey (java.base@17.0.17)
  79:           250          19728  [Z (java.base@17.0.17)
  80:           338          18928  sun.security.ssl.CipherSuite (java.base@17.0.17)
  81:           329          18424  jdk.internal.org.objectweb.asm.Label (java.base@17.0.17)
  82:           575          18400  java.util.ImmutableCollections$ListItr (java.base@17.0.17)
  83:           754          18096  java.util.ImmutableCollections$List12 (java.base@17.0.17)
  84:           318          17808  java.nio.HeapByteBufferR (java.base@17.0.17)
  85:           197          17336  java.lang.reflect.Method (java.base@17.0.17)
  86:           691          16584  java.util.concurrent.ConcurrentLinkedQueue$Node (java.base@17.0.17)
  87:           507          16224  java.lang.invoke.DirectMethodHandle (java.base@17.0.17)
  88:           505          16160  java.lang.invoke.MethodHandles$Lookup (java.base@17.0.17)
  89:           331          15888  org.apache.jena.iri.impl.IRIFactoryImpl$WithScheme
  90:           248          15872  java.security.Provider$Service (java.base@17.0.17)
  91:           652          15648  jdk.internal.org.objectweb.asm.ByteVector (java.base@17.0.17)
  92:            15          15600  [Ljdk.internal.net.http.hpack.QuickHuffman$ImmutableNode; (java.net.http@17.0.17)
  93:            15          15600  [Ljdk.internal.net.http.hpack.QuickHuffman$TemporaryNode; (java.net.http@17.0.17)
  94:           148          15392  java.lang.invoke.InnerClassLambdaMetafactory (java.base@17.0.17)
  95:           381          15240  javax.net.ssl.SSLEngineResult (java.base@17.0.17)
  96:           951          15216  java.lang.Integer (java.base@17.0.17)
  97:           308          14784  sun.security.x509.X500Name (java.base@17.0.17)
  98:           366          14640  java.lang.invoke.DirectMethodHandle$Constructor (java.base@17.0.17)
  99:           438          14016  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@17.0.17)
 100:           348          13920  java.util.HashMap$KeyIterator (java.base@17.0.17)
 101:           165          13200  [Ljava.util.WeakHashMap$Entry; (java.base@17.0.17)
 102:           160          12800  java.util.zip.ZipFile$Source (java.base@17.0.17)
 103:           522          12608  [Ljava.lang.reflect.Constructor; (java.base@17.0.17)
 104:           393          12576  java.util.LinkedList (java.base@17.0.17)
 105:           240          12400  [Ljava.lang.invoke.LambdaForm$Name; (java.base@17.0.17)
 106:           381          12192  java.lang.invoke.BoundMethodHandle$Species_L (java.base@17.0.17)
 107:           149          11920  sun.security.x509.X509CertImpl (java.base@17.0.17)
 108:           494          11856  java.io.ByteArrayOutputStream (java.base@17.0.17)
 109:           459          11016  java.util.Date (java.base@17.0.17)
 110:           457          10968  sun.security.x509.AlgorithmId (java.base@17.0.17)
 111:           341          10912  jdk.internal.math.FDBigInteger (java.base@17.0.17)
 112:           227          10896  java.util.TreeMap (java.base@17.0.17)
 113:           193          10808  java.nio.HeapCharBuffer (java.base@17.0.17)
 114:           446          10704  java.util.Arrays$ArrayList (java.base@17.0.17)
 115:           222          10656  java.lang.invoke.LambdaForm (java.base@17.0.17)
 116:           308          10376  [Lsun.security.x509.RDN; (java.base@17.0.17)
 117:           431          10344  java.util.ImmutableCollections$Set12 (java.base@17.0.17)
 118:           161          10304  java.util.zip.Inflater (java.base@17.0.17)
 119:           160          10240  jdk.internal.org.objectweb.asm.SymbolTable (java.base@17.0.17)
 120:            51          10208  [Ljava.lang.invoke.MethodHandle; (java.base@17.0.17)
 121:           313          10016  java.lang.invoke.MethodHandleNatives$CallSiteContext (java.base@17.0.17)
 122:           173           9688  java.util.stream.ReferencePipeline$Head (java.base@17.0.17)
 123:           133           9576  java.util.regex.Matcher (java.base@17.0.17)
 124:           164           9184  java.io.FileCleanable (java.base@17.0.17)
 125:           378           9072  jdk.internal.net.http.common.SSLFlowDelegate$EngineResult (java.net.http@17.0.17)
 126:           160           8960  java.util.jar.JarFile (java.base@17.0.17)
 127:           365           8760  java.lang.module.ModuleDescriptor$Exports (java.base@17.0.17)
 128:           213           8520  java.security.CodeSource (java.base@17.0.17)
 129:           262           8384  sun.security.util.KnownOIDs (java.base@17.0.17)
 130:           149           8344  sun.security.x509.X509CertInfo (java.base@17.0.17)
 131:           206           8240  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.17)
 132:             1           8216  [Lscala.math.BigInt;
 133:           330           7920  com.sun.crypto.provider.GHASH (java.base@17.0.17)
 134:           165           7920  java.util.WeakHashMap (java.base@17.0.17)
 135:           328           7872  javax.crypto.spec.GCMParameterSpec (java.base@17.0.17)
 136:           326           7824  java.time.LocalDateTime (java.base@17.0.17)
 137:           486           7776  java.lang.Byte (java.base@17.0.17)
 138:           324           7760  [Lsun.security.ssl.Plaintext; (java.base@17.0.17)
 139:           160           7680  jdk.internal.loader.URLClassPath$JarLoader (java.base@17.0.17)
 140:           238           7616  sun.security.util.math.intpoly.IntegerPolynomial$ImmutableElement (java.base@17.0.17)
 141:           310           7440  sun.security.util.Cache$EqualByteArray (java.base@17.0.17)
 142:           155           7440  sun.security.util.MemoryCache$SoftCacheEntry (java.base@17.0.17)
 143:           114           7296  sun.security.provider.SHA2$SHA256 (java.base@17.0.17)
 144:           227           7264  jdk.internal.org.objectweb.asm.Type (java.base@17.0.17)
 145:           443           7088  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base@17.0.17)
 146:           110           7040  jdk.internal.org.objectweb.asm.FieldWriter (java.base@17.0.17)
 147:           290           6960  java.lang.invoke.LambdaForm$NamedFunction (java.base@17.0.17)
 148:            39           6824  [Lsun.security.ssl.SSLExtension; (java.base@17.0.17)
 149:           168           6720  java.io.FileDescriptor (java.base@17.0.17)
 150:           140           6720  jdk.internal.org.objectweb.asm.ClassReader (java.base@17.0.17)
 151:           210           6720  org.apache.jena.rdf.model.impl.PropertyImpl
 152:           104           6656  java.util.stream.ReferencePipeline$2 (java.base@17.0.17)
 153:           276           6624  java.lang.Long (java.base@17.0.17)
 154:           201           6432  java.lang.invoke.MethodTypeForm (java.base@17.0.17)
 155:           396           6336  org.apache.jena.graph.Node_URI
 156:           251           6024  java.security.Provider$UString (java.base@17.0.17)
 157:           188           6016  java.lang.ref.ReferenceQueue (java.base@17.0.17)
 158:           150           6000  java.lang.Package$VersionInfo (java.base@17.0.17)
 159:           150           6000  java.util.StringJoiner (java.base@17.0.17)
 160:           184           5888  java.lang.Package (java.base@17.0.17)
 161:           146           5840  java.security.cert.TrustAnchor (java.base@17.0.17)
 162:           179           5728  java.util.Hashtable$Entry (java.base@17.0.17)
 163:           114           5472  sun.security.rsa.RSAPublicKeyImpl (java.base@17.0.17)
 164:           168           5376  java.io.File (java.base@17.0.17)
 165:           167           5344  jdk.internal.net.http.common.MinimalFuture (java.net.http@17.0.17)
 166:           166           5312  java.io.ByteArrayInputStream (java.base@17.0.17)
 167:            82           5248  java.nio.DirectByteBufferR (java.base@17.0.17)
 168:           216           5184  java.util.ImmutableCollections$Set12$1 (java.base@17.0.17)
 169:           161           5152  sun.security.pkcs11.SunPKCS11$Descriptor (jdk.crypto.cryptoki@17.0.17)
 170:           214           5136  java.util.Collections$UnmodifiableCollection$1 (java.base@17.0.17)
 171:           160           5120  java.io.RandomAccessFile (java.base@17.0.17)
 172:           160           5120  java.util.zip.ZipFile$CleanableResource (java.base@17.0.17)
 173:           309           4944  java.lang.Character$UnicodeBlock (java.base@17.0.17)
 174:           154           4928  java.util.concurrent.SynchronousQueue$TransferStack$SNode (java.base@17.0.17)
 175:           153           4896  java.util.Collections$SynchronizedMap (java.base@17.0.17)
 176:           152           4864  java.lang.invoke.MethodHandles$Lookup$ClassDefiner (java.base@17.0.17)
 177:            13           4784  java.lang.Thread (java.base@17.0.17)
 178:           148           4736  sun.security.x509.BasicConstraintsExtension (java.base@17.0.17)
 179:           146           4672  java.security.MessageDigest$Delegate$CloneableDelegate (java.base@17.0.17)
 180:           146           4672  sun.security.x509.SubjectKeyIdentifierExtension (java.base@17.0.17)
 181:           143           4576  sun.security.x509.KeyUsageExtension (java.base@17.0.17)
 182:           186           4464  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@17.0.17)
 183:            79           4424  java.lang.Module (java.base@17.0.17)
 184:            55           4400  org.apache.jena.iri.impl.SchemeSpecification
 185:           199           4368  [Ljava.util.Map$Entry; (java.base@17.0.17)
 186:           134           4288  java.lang.module.ModuleDescriptor$Requires (java.base@17.0.17)
 187:            67           4288  sun.security.ssl.SSLExtension (java.base@17.0.17)
 188:            76           4256  java.util.zip.ZipFile$ZipFileInflaterInputStream (java.base@17.0.17)
 189:            76           4256  java.util.zip.ZipFile$ZipFileInputStream (java.base@17.0.17)
 190:           106           4240  java.util.WeakHashMap$Entry (java.base@17.0.17)
 191:           174           4176  sun.security.util.BitArray (java.base@17.0.17)
 192:           256           4096  java.lang.Short (java.base@17.0.17)
 193:            64           4096  java.lang.module.ModuleDescriptor (java.base@17.0.17)
 194:           170           4080  java.time.LocalDate (java.base@17.0.17)
 195:           167           4008  java.util.ArrayDeque (java.base@17.0.17)
 196:           164           3936  java.util.Collections$SetFromMap (java.base@17.0.17)
 197:            98           3920  java.util.HashMap$KeySpliterator (java.base@17.0.17)
 198:           163           3912  java.util.Collections$UnmodifiableRandomAccessList (java.base@17.0.17)
 199:           161           3864  java.util.zip.Inflater$InflaterZStreamRef (java.base@17.0.17)
 200:            37           3848  org.apache.jena.ext.xerces.impl.dv.xs.XSSimpleTypeDecl
 201:           160           3840  java.util.zip.ZipFile$Source$Key (java.base@17.0.17)
 202:           158           3792  sun.security.provider.JavaKeyStore$TrustedCertEntry (java.base@17.0.17)
 203:           154           3696  java.lang.invoke.ConstantCallSite (java.base@17.0.17)
 204:           152           3648  java.lang.invoke.MethodHandles$Lookup$ClassFile (java.base@17.0.17)
 205:           152           3648  java.security.SecureClassLoader$1 (java.base@17.0.17)
 206:           114           3648  java.util.HexFormat (java.base@17.0.17)
 207:           114           3648  java.util.concurrent.ConcurrentHashMap$ReservationNode (java.base@17.0.17)
 208:           152           3648  java.util.jar.Attributes$Name (java.base@17.0.17)
 209:           152           3648  org.apache.jena.rdf.model.impl.ResourceImpl
 210:           152           3648  sun.security.jca.GetInstance$Instance (java.base@17.0.17)
 211:           225           3600  java.util.HashMap$EntrySet (java.base@17.0.17)
 212:           150           3600  java.util.ImmutableCollections$SetN (java.base@17.0.17)
 213:           150           3600  sun.security.util.DerOutputStream (java.base@17.0.17)
 214:           149           3576  sun.security.x509.CertificateValidity (java.base@17.0.17)
 215:           148           3552  java.lang.invoke.InfoFromMemberName (java.base@17.0.17)
 216:           111           3552  java.lang.ref.WeakReference (java.base@17.0.17)
 217:           148           3552  sun.security.x509.CertificateExtensions (java.base@17.0.17)
 218:            62           3472  jdk.internal.module.ModuleReferenceImpl (java.base@17.0.17)
 219:            12           3456  [Ljava.util.Hashtable$Entry; (java.base@17.0.17)
 220:            47           3456  [S (java.base@17.0.17)
 221:            72           3456  java.lang.invoke.LambdaFormEditor$Transform (java.base@17.0.17)
 222:           143           3432  org.apache.jena.iri.impl.ViolationCodeInfo$FromAlso
 223:           141           3384  [Ljava.lang.invoke.MethodHandles$Lookup$ClassOption; (java.base@17.0.17)
 224:           140           3360  java.lang.invoke.InnerClassLambdaMetafactory$ForwardingMethodGenerator (java.base@17.0.17)
 225:            55           3080  [Lorg.apache.jena.iri.impl.ComponentPattern;
 226:           190           3040  java.lang.ref.ReferenceQueue$Lock (java.base@17.0.17)
 227:            63           3024  org.apache.jena.iri.impl.ViolationCodeInfo
 228:           187           2992  sun.security.x509.KeyIdentifier (java.base@17.0.17)
 229:            74           2960  jdk.internal.loader.URLClassPath$JarLoader$2 (java.base@17.0.17)
 230:            73           2920  java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle (java.base@17.0.17)
 231:            51           2864  [Lorg.apache.jena.graph.Triple;
 232:            56           2856  [Ljava.lang.reflect.Method; (java.base@17.0.17)
 233:           117           2808  java.util.AbstractMap$SimpleImmutableEntry (java.base@17.0.17)
 234:           174           2784  java.security.SecureClassLoader$CodeSourceKey (java.base@17.0.17)
 235:           116           2784  java.util.concurrent.CopyOnWriteArrayList (java.base@17.0.17)
 236:           116           2784  sun.security.x509.X509CertImpl$$Lambda$432/0x000000c8012fc440 (java.base@17.0.17)
 237:            68           2720  java.lang.invoke.DirectMethodHandle$Accessor (java.base@17.0.17)
 238:           110           2640  java.lang.invoke.LambdaFormEditor$TransformKey (java.base@17.0.17)
 239:            30           2640  java.util.regex.Pattern (java.base@17.0.17)
 240:           161           2576  java.util.WeakHashMap$KeySet (java.base@17.0.17)
 241:           160           2560  sun.nio.fs.UnixFileAttributes$UnixAsBasicFileAttributes (java.base@17.0.17)
 242:           158           2528  sun.security.x509.SerialNumber (java.base@17.0.17)
 243:            78           2496  java.util.LinkedList$ListItr (java.base@17.0.17)
 244:           104           2496  java.util.stream.ReferencePipeline$2$1 (java.base@17.0.17)
 245:            78           2496  sun.security.util.math.intpoly.IntegerPolynomial$MutableElement (java.base@17.0.17)
 246:            62           2480  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@17.0.17)
 247:           103           2472  [[C (java.base@17.0.17)
 248:           102           2448  java.util.regex.Pattern$BmpCharProperty (java.base@17.0.17)
 249:           102           2448  java.util.stream.ForEachOps$ForEachOp$OfRef (java.base@17.0.17)
 250:            61           2440  java.lang.invoke.VarHandle$AccessDescriptor (java.base@17.0.17)
 251:           152           2432  jdk.internal.net.http.SocketTube$InternalReadPublisher$InternalReadSubscription$$Lambda$415/0x000000c8012a8ad8 (java.net.http@17.0.17)
 252:           152           2432  sun.security.x509.CertificateVersion (java.base@17.0.17)
 253:           151           2416  javax.security.auth.x500.X500Principal (java.base@17.0.17)
 254:           100           2400  java.net.http.HttpHeaders$$Lambda$349/0x000000c80128c448 (java.net.http@17.0.17)
 255:           150           2400  java.util.HashMap$KeySet (java.base@17.0.17)
 256:           149           2384  sun.security.x509.CertificateAlgorithmId (java.base@17.0.17)
 257:           149           2384  sun.security.x509.CertificateSerialNumber (java.base@17.0.17)
 258:           149           2384  sun.security.x509.CertificateX509Key (java.base@17.0.17)
 259:            74           2368  java.security.AlgorithmParameters (java.base@17.0.17)
 260:            98           2352  jdk.internal.net.http.HttpClientImpl$SelectorManager$$Lambda$395/0x000000c80129f0d8 (java.net.http@17.0.17)
 261:            98           2352  jdk.internal.net.http.HttpClientImpl$SelectorManager$$Lambda$396/0x000000c80129f300 (java.net.http@17.0.17)
 262:            73           2336  java.lang.invoke.SimpleMethodHandle (java.base@17.0.17)
 263:            48           2304  jdk.internal.org.objectweb.asm.Frame (java.base@17.0.17)
 264:            55           2200  java.util.HashMap$EntryIterator (java.base@17.0.17)
 265:            68           2176  java.lang.invoke.LambdaForm$Kind (java.base@17.0.17)
 266:            15           2160  [Ljava.lang.invoke.MemberName; (java.base@17.0.17)
 267:            90           2160  java.security.spec.ECPoint (java.base@17.0.17)
 268:           133           2128  [Ljava.util.regex.IntHashSet; (java.base@17.0.17)
 269:            53           2120  java.io.ObjectStreamField (java.base@17.0.17)
 270:            53           2120  sun.security.util.NamedCurve (java.base@17.0.17)
 271:            37           2072  sun.security.jca.ProviderList$ServiceList (java.base@17.0.17)
 272:            86           2064  java.util.zip.ZipFile$InflaterCleanupAction (java.base@17.0.17)
 273:           128           2048  java.lang.Character (java.base@17.0.17)
 274:            42           2016  ch.qos.logback.classic.Logger
 275:            83           1992  java.lang.RuntimePermission (java.base@17.0.17)
 276:            83           1992  jdk.internal.net.http.hpack.SimpleHeaderTable$HeaderField (java.net.http@17.0.17)
 277:            31           1984  sun.security.provider.SHA5$SHA384 (java.base@17.0.17)
 278:            61           1952  jdk.internal.loader.BuiltinClassLoader$LoadedModule (java.base@17.0.17)
 279:            34           1904  sun.security.ssl.NamedGroup (java.base@17.0.17)
 280:            79           1896  jdk.internal.jimage.ImageLocation (java.base@17.0.17)
 281:            63           1888  [Lorg.apache.jena.iri.impl.ViolationCodeInfo$InSpec;
 282:            58           1856  javax.crypto.JceSecurity$WeakIdentityWrapper (java.base@17.0.17)
 283:            37           1776  java.util.logging.LogManager$LoggerWeakRef (java.logging@17.0.17)
 284:           110           1760  java.lang.invoke.LambdaFormEditor (java.base@17.0.17)
 285:            36           1728  jdk.internal.org.objectweb.asm.AnnotationWriter (java.base@17.0.17)
 286:            53           1696  java.security.spec.EllipticCurve (java.base@17.0.17)
 287:           106           1696  org.apache.jena.sparql.util.Symbol
 288:            70           1680  java.lang.invoke.InnerClassLambdaMetafactory$1 (java.base@17.0.17)
 289:            70           1680  java.util.regex.Pattern$Slice (java.base@17.0.17)
